Date,Strategy
2015-01-02,10000.0
2015-01-05,9869.487422786491
2015-01-06,9843.630096402927
2015-01-07,9842.541636595834
2015-01-08,9867.579590147125
2015-01-09,9928.630777504924
2015-01-12,9932.41825459177
2015-01-13,9941.468340893245
2015-01-14,9922.695863647874
2015-01-15,10062.90527836911
2015-01-16,10162.018110071489
2015-01-20,10278.633021889867
2015-01-21,10280.504677450783
2015-01-22,10373.689425941737
2015-01-23,10385.831598212913
2015-01-26,10407.216846087957
2015-01-27,10358.011235747288
2015-01-28,10323.469626897171
2015-01-29,10431.504096787807
2015-01-30,10539.875014698297
2015-02-02,10607.874728482406
2015-02-03,10553.77588050861
2015-02-04,10587.128354890707
2015-02-05,10672.853020379445
2015-02-06,10398.862202013821
2015-02-09,10336.384374438465
2015-02-10,10401.605211264898
2015-02-11,10412.371874853152
2015-02-12,10444.996312518133
2015-02-13,10430.96562707574
2015-02-17,10400.969435407005
2015-02-18,10423.386198760238
2015-02-19,10405.728623839494
2015-02-20,10475.963347577212
2015-02-23,10532.470261665301
2015-02-24,10591.344275531192
2015-02-25,10617.53848885613
2015-02-26,10568.364716241385
2015-02-27,10575.985459663976
2015-03-02,10568.11245989803
2015-03-03,10511.637925069452
2015-03-04,10514.121639485675
2015-03-05,10528.485954210177
2015-03-06,10337.608727225643
2015-03-09,10410.164237448324
2015-03-10,10366.356441348584
2015-03-11,10385.24211651534
2015-03-12,10490.675049615336
2015-03-13,10403.26299602654
2015-03-16,10557.925060594973
2015-03-17,10549.632339547255
2015-03-18,10696.54870020304
2015-03-19,10686.165343334755
2015-03-20,10769.36827143476
2015-03-23,10745.20100947846
2015-03-24,10730.013397323315
2015-03-25,10579.582122950329
2015-03-26,10498.923995625584
2015-03-27,10545.582352042158
2015-03-30,10664.868638611355
2015-03-31,10634.633911073528
2015-04-01,10645.506675871253
2015-04-02,10654.150239374005
2015-04-06,10763.869314924159
2015-04-07,10685.921391200922
2015-04-08,10678.899446707115
2015-04-09,10651.90428491235
2015-04-10,10710.892908301597
2015-04-13,10644.288942462981
2015-04-14,10676.274755327795
2015-04-15,10717.604817388163
2015-04-16,10665.791236919022
2015-04-17,10634.128480366275
2015-04-20,10765.526844927614
2015-04-21,10697.44854403034
2015-04-22,10654.926368892588
2015-04-23,10696.070680222198
2015-04-24,10731.208427047166
2015-04-27,10641.370405996278
2015-04-28,10607.80126582955
2015-04-29,10512.254544003552
2015-04-30,10436.612159131393
2015-05-01,10472.357489974493
2015-05-04,10474.037910156276
2015-05-05,10390.766975704388
2015-05-06,10300.91797675642
2015-05-07,10384.15395532078
2015-05-08,10479.952969861779
2015-05-11,10378.634258476955
2015-05-12,10357.251535337233
2015-05-13,10321.113668227195
2015-05-14,10402.368709176006
2015-05-15,10495.079940759435
2015-05-18,10466.543858135909
2015-05-19,10454.779183793256
2015-05-20,10461.04873278087
2015-05-21,10519.518479709113
2015-05-22,10508.341379878442
2015-05-26,10508.15260751894
2015-05-27,10586.245228987402
2015-05-28,10574.80422502179
2015-05-29,10551.013414565152
2015-06-01,10532.168780117652
2015-06-02,10459.594976413484
2015-06-03,10427.525274210238
2015-06-04,10427.007161208328
2015-06-05,10377.482935592907
2015-06-08,10335.473947520086
2015-06-09,10305.95002327554
2015-06-10,10380.702564301422
2015-06-11,10451.159415739707
2015-06-12,10390.98251576416
2015-06-15,10387.113150269108
2015-06-16,10442.836444100456
2015-06-17,10490.03141404159
2015-06-18,10600.389506300684
2015-06-19,10511.92771270997
2015-06-22,10489.887953150774
2015-06-23,10404.101115317102
2015-06-24,10377.037486447456
2015-06-25,10376.48748905778
2015-06-26,10391.020216722965
2015-06-29,10301.017675435833
2015-06-30,10286.59230761808
2015-07-01,10343.971702696044
2015-07-02,10420.642603823097
2015-07-06,10444.01041512029
2015-07-07,10610.577227421665
2015-07-08,10523.310284903335
2015-07-09,10440.835133216115
2015-07-10,10482.540337900344
2015-07-13,10494.351749816038
2015-07-14,10500.619254279442
2015-07-15,10545.324929314245
2015-07-16,10681.039313557705
2015-07-17,10650.627535394126
2015-07-20,10649.29222775544
2015-07-21,10644.072125906561
2015-07-22,10690.176700109187
2015-07-23,10703.010368559973
2015-07-24,10605.800054155721
2015-07-27,10602.198436238901
2015-07-28,10657.644648013453
2015-07-29,10706.496259013447
2015-07-30,10763.038822979319
2015-07-31,10816.73550200434
2015-08-03,10846.615277823134
2015-08-04,10818.67563245246
2015-08-05,10808.82917313275
2015-08-06,10822.994693045091
2015-08-07,10866.813693859058
2015-08-10,10884.246326616189
2015-08-11,10881.925480853191
2015-08-12,10848.682188813003
2015-08-13,10843.481257574616
2015-08-14,10872.978739666929
2015-08-17,10924.173661029345
2015-08-18,10887.298484703448
2015-08-19,10895.522809637161
2015-08-20,10768.011362681604
2015-08-21,10562.06082518577
2015-08-24,10401.373985704253
2015-08-25,10283.736623588988
2015-08-26,10320.994179069437
2015-08-27,10390.842103577685
2015-08-28,10451.684128011695
2015-08-31,10424.85924197671
2015-09-01,10361.013196808382
2015-09-02,10386.608158488352
2015-09-03,10354.621038828553
2015-09-04,10290.537042121905
2015-09-08,10362.962030008788
2015-09-09,10239.017364586656
2015-09-10,10270.692209752464
2015-09-11,10280.149331108123
2015-09-14,10275.997914769945
2015-09-15,10282.454462060465
2015-09-16,10384.60347862151
2015-09-17,10445.062838285097
2015-09-18,10462.878533549809
2015-09-21,10439.497399275608
2015-09-22,10359.183829256639
2015-09-23,10390.787341649115
2015-09-24,10530.384831217494
2015-09-25,10487.820964513947
2015-09-28,10354.860146542984
2015-09-29,10322.523564781057
2015-09-30,10307.116443959276
2015-10-01,10303.960124410172
2015-10-02,10486.852191235339
2015-10-05,10525.149750586343
2015-10-06,10587.28948653679
2015-10-07,10637.061244279705
2015-10-08,10694.952878203974
2015-10-09,10719.24863882776
2015-10-12,10768.568821009898
2015-10-13,10708.013552731541
2015-10-14,10705.757101075786
2015-10-15,10820.49824588547
2015-10-16,10872.51163908726
2015-10-19,10884.571444996856
2015-10-20,10803.327762019822
2015-10-21,10791.460797747879
2015-10-22,10821.290600644405
2015-10-23,10891.25436405498
2015-10-26,10940.023442812842
2015-10-27,11006.014345429012
2015-10-28,11063.004750512468
2015-10-29,11021.560145518419
2015-10-30,11015.055708452546
2015-11-02,11104.910697277619
2015-11-03,11067.055185466572
2015-11-04,11039.025291245769
2015-11-05,11025.778602106246
2015-11-06,10958.22632357683
2015-11-09,10868.580661144151
2015-11-10,10927.823418587106
2015-11-11,10867.42318295306
2015-11-12,10783.443398149415
2015-11-13,10737.664267540204
2015-11-16,10820.768206836317
2015-11-17,10779.762191654347
2015-11-18,10914.84618330518
2015-11-19,10880.853008797254
2015-11-20,10925.853692639394
2015-11-23,10930.758204006921
2015-11-24,10936.325733356642
2015-11-25,10976.284139360874
2015-11-27,10976.570068541097
2015-11-30,10920.622186394
2015-12-01,11070.798178165067
2015-12-02,11008.00984523668
2015-12-03,10768.83648630079
2015-12-04,10959.273256133116
2015-12-07,10958.636981075444
2015-12-08,10949.98006809362
2015-12-09,10869.680013155968
2015-12-10,10910.63529528831
2015-12-11,10768.658572522965
2015-12-14,10751.193573635523
2015-12-15,10746.651546433535
2015-12-16,10877.053408752623
2015-12-17,10691.638526582761
2015-12-18,10598.926246069024
2015-12-21,10629.254402488188
2015-12-22,10620.759018173265
2015-12-23,10750.448206818339
2015-12-24,10747.745423591236
2015-12-28,10756.390757646823
2015-12-29,10823.1016821833
2015-12-30,10787.034516136966
2015-12-31,10738.758549229029
2016-01-04,10677.903879409989
2016-01-05,10719.726609495872
2016-01-06,10793.672082619201
2016-01-07,10808.8658645641
2016-01-08,10756.640921207994
2016-01-11,10713.83398851849
2016-01-12,10724.775533802363
2016-01-13,10684.603818970409
2016-01-14,10617.923929626973
2016-01-15,10618.485093248171
2016-01-19,10625.757234992734
2016-01-20,10688.569189502432
2016-01-21,10706.980590687783
2016-01-22,10753.484488231488
2016-01-25,10788.563755210316
2016-01-26,10896.790078951268
2016-01-27,10875.182677722181
2016-01-28,10845.78555205729
2016-01-29,10971.89668244248
2016-02-01,11049.914272561822
2016-02-02,11012.59831101127
2016-02-03,11073.481799462439
2016-02-04,11151.131296867321
2016-02-05,11194.765371147352
2016-02-08,11268.289378031102
2016-02-09,11252.520631423755
2016-02-10,11314.776893375265
2016-02-11,11580.777385323536
2016-02-12,11576.39268642546
2016-02-16,11405.84775944586
2016-02-17,11503.479478839574
2016-02-18,11670.162074014801
2016-02-19,11631.610650735713
2016-02-22,11543.80447760889
2016-02-23,11615.19082700198
2016-02-24,11671.486641177515
2016-02-25,11737.787502371171
2016-02-26,11716.063986151046
2016-02-29,11671.536755736954
2016-03-01,11788.292130195272
2016-03-02,11918.762426660474
2016-03-03,11942.865888233398
2016-03-04,11909.858437353842
2016-03-07,11932.905916450625
2016-03-08,11894.67338776832
2016-03-09,11884.47597111071
2016-03-10,11873.557902011937
2016-03-11,11973.563009261807
2016-03-14,11973.352547909095
2016-03-15,11910.81177891607
2016-03-16,11930.037495027484
2016-03-17,11916.9837165443
